	codificacao_foto	ano	mes	dia	data	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema	Categoria 2	Com que frequência isso ocorre	Consegue nos informar o endereço de onde a foto/vídeo foi tirada	Em que localidade fica	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma	A quem recorreu
296	20220828_1312	2022	8	28	20220828.0	Esgoto entupido	Bueiro entupido	Esgoto	Ocasionalmente	Rua Evanildo Alves, 51	Nova Maré	-2,28587588198745E+016	-43244437214832	Sim	Águas do Rio
297	20220912_1007	2022	9	12	20220912.0	Vazamento de esgoto	Transbordamento de esgoto	Esgoto	Não informado	Rua Tancredo Neves 272, em frente a vila olimpica	Baixa do Sapateiro	Sem informacao	Sem informacao	Não	Não menciona
298	20220913_1210	2022	9	13	20220913.0	Por favor se puder mandar algúem agradeço. Já liguei para águas do rio e nada!!!	Bueiro entupido	Esgoto	Ocasionalmente	Beco da rua Ivanildo Alves, 55	Nova Maré	-2,28585889915588E+016	-43244372907341	Sim	Águas do Rio
299	20220912_1705	2022	9	12	20220922.0	Esgoto entupido	Bueiro entupido	Esgoto	Frequentemente	Rua Guanabara, 12	Parque União	-2,28520180454265E+016	-4324665700179770	Sim	Águas do Rio
300	20220927_1451	2022	9	27	20220927.0	Sem informacao	Bueiro entupido	Esgoto	Frequentemente	Rua Guanabara	Parque União	-2,28579656001546E+016	-4324392607433970	Não	Não menciona
301	20220923_1610	2022	9	23	20220923.0	Acúmulo de lixo, rua Tancredo Neves prox n2, em frente a vila olímpica. Baixa	Acúmulo de lixo	Lixo	Não informado	 rua Tancredo Neves prox n2, em frente a vila olímpica. Baixa	Baixa do Sapateiro	Sem informacao	Sem informacao	Não	Não menciona
302	20220923_1611	2022	9	23	20220923.0	Entulho, rua Tancredo Neves em frente a casa 2, baixa	Acúmulo de lixo e entulho	Lixo	Não informado	rua Tancredo Neves em frente a casa 2, baixa	Baixa do Sapateiro	Sem informacao	Sem informacao	Não	Não menciona
303	20221005_1618	2022	10	5	20221005.0	Lixo, rua nova Jerusalém esquina com a Flávia farnese. Baixa	Acúmulo de lixo e entulho	Lixo	Ocasionalmente	rua nova Jerusalém esquina com a Flávia farnese	Baixa do Sapateiro	Sem informacao	Sem informacao	Não	Não menciona
304	20221005_1619	2022	10	5	20221005.0	Lixo, rua nova Jerusalém esquina com a Flávia farnese. Baixa	Acúmulo de lixo e entulho	Lixo	Ocasionalmente	rua nova Jerusalém esquina com a Flávia farnese	Baixa do Sapateiro	Sem informacao	Sem informacao	Não	Não menciona
305	20220208_1404	2022	2	8	20220208.0	Vazamento de esgoto beco da rua Oliveira na baixa do sapateiro. Próximo à escola pescador Isidoro	Transbordamento de esgoto	Esgoto	Não informado	beco da rua Oliveira na baixa do sapateiro. Próximo à escola pescador Isidoro	Baixa do Sapateiro	Sem informacao	Sem informacao	Não	Não menciona
306	20220202_2208	2022	2	2	20220202.0	Vazamento e boeiro entupido na rua capitão carlos próximo ao número 34	Transbordamento de esgoto	Esgoto	Não informado	rua capitão carlos próximo ao número 34	Baixa do Sapateiro	Sem informacao	Sem informacao	Não	Não menciona
307	20221018_2137	2022	10	18	20221018.0	Acúmulo de lixo, rua capitão casos 156, baixa. Próximo a escola CEUS	Acúmulo de lixo	Lixo	Não informado	rua capitão casos 156, baixa. Próximo a escola CEUS	Baixa do Sapateiro	Sem informacao	Sem informacao	Não	Não menciona
308	20221024_1936	2022	10	24	20221024.0	Vazamento de esgoto, rua Flávia Farnese 480, baixa do sapateiro	Transbordamento de esgoto	Esgoto	Não informado	rua Flávia Farnese 480, baixa do sapateiro	Baixa do Sapateiro	-2,28602928734186E+016	-4324636670668480	Não	Não menciona
