Num	Registro no site	data	codificacao_foto	Conta para gente o que está acontecendo	Em que categoria se encaixaria o problema?	RECLASSIFICAÇÃO	PRECISA REV MANUAL?	Categoria 2	Com que frequência isso ocorre?	Consegue nos informar o endereço de onde a foto/vídeo foi tirada?	Em que localidade fica?	Insira a latitude do seu endereço (opcional)	Insira a longitude do seu endereço (opcional)	Você já tentou solucionar o problema de alguma forma?	A quem recorreu?
113	Não	20210715	20210715_1335	Vazamento de esgoto em vários pontos	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	rua A n12	Baixa do Sapateiro	-22.860522	-43.243023		
114	Não	20210715	20210715_1336	Vazamento de esgoto em vários pontos	Esgoto a céu aberto	Bueiro entupido	Sim	Esgoto	Frequentemente	entrada pela rua são Roque n30	Baixa do Sapateiro	-22.859248	-43.243125		
115	Não	20210715	20210715_1336	Vazamento de esgoto em vários pontos	Esgoto a céu aberto	Bueiro entupido		Esgoto	Frequentemente	entrada pela rua são Roque n31	Baixa do Sapateiro	-22.858832	-43.243091		
116	Sim	20210715	20210715_1724	 lixo tá se espalhando pelo esgoto e pela rua	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua Roberto da Silveira com Rua Canaa, Parque União	Parque União	-22.851589	-43.245236		
117	Sim	20210715	20210715_1724	Lixo tá se espalhando pelo esgoto e pela rua	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Rua Roberto da Silveira com Rua Canaa, Parque União	Parque União	-22.851589	-43.245236		
118	Sim	20210715	20210715_1730	Morador amigo informou que tá vazando muito esgoto e de forma frequente	Bueiro entupido	Não precisa		Esgoto	Frequentemente	Rua Heitz Oliveira com José Rezende	Parque União	-22.848001	 -43.244438		
119	Não	20210715	20210715_1746	-	Bueiro entupido	Esgoto a céu aberto		Esgoto	Frequentemente	Rua Geraldo Marcelino da Silva	Parque União	'-22.849486
'	-43.241565		
120	Sim	20210716	20210716_1446	-	Transbordamento de esgoto	Esgoto a céu aberto		Esgoto	Ocasionalmente	Rua Maria de Lourdes Martins	Parque União	-22.8493	-43.2436		
121	Sim	20210716	20210716_1448	-	Bueiro entupido	Não precisa		Esgoto	Ocasionalmente	Rua Maria de Lourdes Martins	Parque União	-22.84927	-43.24374		
122	Sim	20210716	20210716_1450	-	Bueiro entupido	Não precisa		Esgoto	Frequentemente	Rua José Amorim Machado	Parque União	-22.849607 	-43.245609		
123	Sim	20210716	20210716_1452	O lixo descartado ali acaba se espalhando junto ao esgoto	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua São Pedro	Parque União	-22.84947	-43.24568		
124	Sim	20210716	20210716_1453	-	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Rua São Sebastião	Nova Holanda	-22.856245 	 -43.239680		
125	Sim	20210716	20210716_1454	-	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Rua Teixeira Ribeiro	Parque Maré	-22.857824	-43.239413		
126	Sim	20210716	20210716_1458	-	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Rua Tancredo Neves com rua Esperança	Parque Maré	-22.856775	-43.240073		
127	Sim	20210716	20210716_1853	Terreno sempre com muito lixo	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Rua projetada C	Salsa e Merengue	-22.873176	-43.236653		
128	Sim	20210716	20210716_1854	-	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Rua projetada C	Salsa e Merengue	-22.873179706950175	-43.23666506994055		
129	Sim	20210716	20210716_1857	local sempre com muito lixo encostado ao muro da escola Marielle Franco	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Rua Projetada D	Salsa e Merengue	-22.872850	 -43.236253		
130	Não	20210716	20210716_1900	Vala sempre com muito lixo e caçambas sempre muito cheias	Acúmulo de lixo	Não precisa		Lixo	Frequentemente	Rua Projetada G	Salsa e Merengue	-22.872198	-43.236662		
130	Sim	20210716	20210716_1900	Vala sempre com muito lixo e caçambas sempre muito cheias	Esgoto a céu aberto	Não precisa		Esgoto	Frequentemente	Rua Projetada G	Salsa e Merengue	-22.872198	-43.236662		
131	Sim	20210716	20210716_1910	restos d madeira e entulho , moradores  disseram q já está ali a muito tempo , próximo a Mc salsa  no salsa vila do Pinheiro	Acúmulo de lixo e entulho	Não precisa		Lixo	Frequentemente	Rua Projetada G	Salsa e Merengue	-22.871180	-43.236278		
