,ano,Mes,Localidade,Categoria,Subcategoria
231,2021,agosto,Marcílio Dias,Drenagem,Alagamento
232,2021,agosto,Marcílio Dias,Lixo,Acúmulo de lixo
233,2020,agosto,Morro do Timbau,Lixo,Acúmulo de lixo e entulho
234,2021,agosto,Vila dos Pinheiros,Esgoto,Bueiro entupido
235,2021,agosto,Vila dos Pinheiros,Esgoto,Transbordamento de esgoto
236,2021,agosto,Conjunto Pinheiros,Esgoto,Transbordamento de esgoto
237,2021,agosto,Conjunto Pinheiros,Esgoto,Esgoto a céu aberto
238,2021,agosto,Conjunto Pinheiros,Lixo,Acúmulo de lixo e entulho
239,2021,setembro,Vila dos Pinheiros,Drenagem,Transbordamento de água
240,2021,setembro,Salsa e Merengue,Esgoto,Esgoto a céu aberto
241,2021,setembro,Salsa e Merengue,Esgoto,Transbordamento de esgoto
242,2021,setembro,Salsa e Merengue,Esgoto,Transbordamento de esgoto
243,2021,setembro,Vila do João,Lixo,Acúmulo de lixo
244,2021,setembro,Vila do João,Esgoto,Esgoto a céu aberto
245,2021,setembro,Vila do João,Esgoto,Transbordamento de esgoto
246,2021,setembro,Vila do João,Esgoto,Esgoto a céu aberto
247,2020,maio,Vila dos Pinheiros,Esgoto,Esgoto a céu aberto
248,2020,janeiro,Roquete Pinto,Esgoto,Bueiro entupido
249,2020,março,Vila dos Pinheiros,Esgoto,Esgoto a céu aberto
250,2020,março,Vila dos Pinheiros,Esgoto,Esgoto a céu aberto
251,2020,maio,Vila dos Pinheiros,Esgoto,Bueiro entupido
252,2020,dezembro,Baixa do Sapateiro,Esgoto,Esgoto a céu aberto
253,2020,dezembro,Vila dos Pinheiros,Esgoto,Bueiro entupido
254,2020,dezembro,Roquete Pinto,Esgoto,Esgoto a céu aberto
255,2021,janeiro,Vila do João,Esgoto,Alagamento
256,2021,janeiro,Morro do Timbau,Esgoto,Esgoto a céu aberto
257,2021,março,Conjunto Esperança,Esgoto,Esgoto a céu aberto
258,2021,março,Roquete Pinto,Esgoto,Esgoto a céu aberto
259,2021,março,Roquete Pinto,Lixo,Acúmulo de lixo e entulho
260,2021,março,Parque Rubens Vaz,Esgoto,Alagamento
261,2021,março,Roquete Pinto,Esgoto,Alagamento
262,2021,março,Parque Maré,Esgoto,Alagamento
263,2021,março,Vila dos Pinheiros,Esgoto,Alagamento
264,2021,março,Parque União,Esgoto,Alagamento
265,2021,março,Parque Rubens Vaz,Esgoto,Alagamento
266,2021,março,Vila dos Pinheiros,Esgoto,Alagamento
267,2021,março,Vila dos Pinheiros,Esgoto,Alagamento
268,2021,março,Parque Rubens Vaz,Esgoto,Alagamento
269,2021,março,Conjunto Esperança,Esgoto,Transbordamento de esgoto
270,2021,março,Parque União,Lixo,Acúmulo de lixo
271,2021,março,Nova Maré,Lixo,Acúmulo de lixo
272,2021,março,Roquete Pinto,Esgoto,Esgoto a céu aberto
273,2021,abril,Parque Maré,Abastecimento de água,Qualidade da água
274,2021,abril,Parque Maré,Abastecimento de água,Qualidade da água
275,2021,maio,Parque Maré,Esgoto,Transbordamento de esgoto
276,2021,maio,Parque Maré,Esgoto,Bueiro entupido
277,2021,junho,Baixa do Sapateiro,Esgoto,Bueiro entupido
278,2021,junho,Parque Maré,Esgoto,Bueiro entupido
279,2021,junho,Parque Maré,Lixo,Acúmulo de lixo
280,2021,julho,Parque Maré,Esgoto,Bueiro entupido
281,2021,outubro,Parque Rubens Vaz,Drenagem,Alagamento
282,2021,dezembro,Nova Holanda,Drenagem,Alagamento
283,2021,dezembro,Nova Holanda,Drenagem,Alagamento
284,2021,dezembro,Baixa do Sapateiro,Drenagem,Alagamento
285,2022,fevereiro,Roquete Pinto,Drenagem,Alagamento
290,2022,março,Morro do Timbau,Lixo,Acúmulo de lixo
291,2022,abril,Parque União,Esgoto,Transbordamento de esgoto
292,2022,abril,Salsa e Merengue,Lixo,Acúmulo de lixo e entulho
295,2022,junho,Nova Maré,Esgoto,Bueiro entupido
296,2022,junho,Nova Maré,Esgoto,Bueiro entupido
297,2022,agosto,Vila dos Pinheiros,Esgoto,Bueiro entupido
298,2022,agosto,Nova Maré,Esgoto,Transbordamento de esgoto
299,2022,agosto,Nova Maré,Esgoto,Bueiro entupido
300,2022,setembro,Baixa do Sapateiro,Esgoto,Transbordamento de esgoto
301,2022,setembro,Nova Maré,Esgoto,Bueiro entupido
302,2022,setembro,Parque União,Esgoto,Bueiro entupido
303,2022,setembro,Parque União,Esgoto,Bueiro entupido
304,2022,setembro,Baixa do Sapateiro,Lixo,Acúmulo de lixo
305,2022,setembro,Baixa do Sapateiro,Lixo,Acúmulo de lixo e entulho
306,2022,outubro,Baixa do Sapateiro,Lixo,Acúmulo de lixo e entulho
307,2022,outubro,Baixa do Sapateiro,Lixo,Acúmulo de lixo e entulho
308,2022,fevereiro,Baixa do Sapateiro,Esgoto,Transbordamento de esgoto
309,2022,fevereiro,Baixa do Sapateiro,Esgoto,Transbordamento de esgoto
310,2022,outubro,Baixa do Sapateiro,Lixo,Acúmulo de lixo
311,2022,outubro,Baixa do Sapateiro,Esgoto,Transbordamento de esgoto
312,2022,outubro,Baixa do Sapateiro,Lixo,Acúmulo de lixo
313,2022,outubro,Baixa do Sapateiro,Esgoto,Transbordamento de esgoto
314,2022,outubro,Baixa do Sapateiro,Esgoto,Problemas com bueiro
315,2022,outubro,Baixa do Sapateiro,Lixo,Acúmulo de lixo
316,2022,novembro,Nova Holanda,Esgoto,Transbordamento de esgoto
317,2022,novembro,Nova Holanda,Esgoto,Transbordamento de esgoto
318,2022,novembro,Nova Holanda,Esgoto,Transbordamento de esgoto
319,2022,dezembro,Baixa do Sapateiro,Esgoto,Transbordamento de esgoto
320,2023,janeiro,Nova Holanda,Esgoto,Transbordamento de esgoto
321,2023,janeiro,Nova Holanda,Esgoto,Transbordamento de esgoto
322,2023,janeiro,Nova Holanda,Esgoto,Transbordamento de esgoto
323,2023,fevereiro,Nova Holanda,Esgoto,Transbordamento de esgoto
324,2023,fevereiro,Parque Maré,Esgoto,Transbordamento de esgoto
327,2023,abril,Morro do Timbau,Drenagem,Alagamento
328,2023,maio,Morro do Timbau,Lixo,Acúmulo de lixo
331,2023,abril,Morro do Timbau,Drenagem,Alagamento
332,2023,maio,Morro do Timbau,Lixo,Acúmulo de lixo
